keyword,url,clicks,impressions,avg_position,ctr,opportunity_score
seo audit checklist,/blog/seo-audit-checklist,528,13966,10.885824175824176,0.03780610052985823,1282.9529279938624
website seo audit,/blog/seo-audit-checklist,454,13738,11.002444444444444,0.03304702285631096,1248.631617216376
seo audit checklist,/blog/technical-seo-guide,397,13192,10.966000000000001,0.03009399636143117,1202.991063286522
technical seo guide,/services/technical-seo,455,11919,10.355111111111112,0.03817434348519171,1151.025795098502
core web vitals seo,/services/technical-seo,480,10590,9.448777777777778,0.0453257790368272,1120.7798774679852
technical seo checklist,/blog/technical-seo-guide,400,11683,10.530888888888889,0.034237781391765816,1109.4030260186964
technical seo services,/services/technical-seo,476,11255,10.206,0.04229231452687694,1102.782676856751
how to do seo audit,/blog/seo-audit-checklist,427,12183,11.261111111111111,0.035048838545514244,1081.8648248643315
site speed seo,/services/technical-seo,462,10263,9.620222222222223,0.04501607717041801,1066.8152733824581
technical seo guide,/blog/technical-seo-guide,376,11628,11.079777777777776,0.03233574131406949,1049.4795322810326
seo consulting services,/services/seo-consulting,386,9921,9.838444444444445,0.038907368208849914,1008.3911187405416
seo consultant,/services/seo-consulting,401,8918,9.435,0.04496523884278986,945.2040275569686
seo keyword grouping,/blog/keyword-clustering,361,9758,10.92588888888889,0.036995285919245745,893.1081122308888
cluster keywords,/blog/keyword-clustering,356,9701,10.891111111111112,0.03669724770642202,890.7263823709446
internal linking strategy,/blog/internal-linking-strategy,333,9299,10.596777777777778,0.03581030218303043,877.5309056212056
