keyword,url,historical_avg_position,recent_avg_position,predicted_future_position,current_top3_probability,impressions,historical_clicks,predicted_future_clicks,recent_position_gain
seo consultant,/services/seo-consulting,9.736129032258065,8.046666666666667,9.630135472311313,0.0013182441910164825,6129,268,115.77106829330491,1.6894623655913978
site speed seo,/services/technical-seo,9.595161290322581,10.426666666666668,9.962451369311541,0.0009458773067148961,6733,325,113.48355908283953,-0.8315053763440865
seo consulting services,/services/seo-consulting,10.26725806451613,9.376666666666667,9.964785429343353,0.0009436742277398249,6736,241,139.1346094079425,0.8905913978494624
seo for online store,/blog/ecommerce-seo-tips,10.23741935483871,7.236666666666667,10.168699922093518,0.0007697306195184381,5898,273,109.67413934583463,3.000752688172043
product page seo,/blog/ecommerce-seo-tips,11.224838709677421,9.05,10.333669361295668,0.0006527461029994053,6282,211,127.16819421884166,2.17483870967742
technical seo services,/services/technical-seo,10.809354838709677,9.133333333333333,10.409845684619393,0.0006048979658708374,7280,246,150.1939271536981,1.6760215053763439
internal linking strategy,/blog/internal-linking-strategy,10.182580645161291,8.673333333333334,10.414837866636685,0.0006018875432207211,6411,247,116.22454210105097,1.5092473118279575
core web vitals seo,/services/technical-seo,9.571774193548388,7.31,10.506795923619697,0.0005490367871267981,7167,347,122.56512006880139,2.261774193548388
ecommerce seo tips,/blog/ecommerce-seo-tips,11.046935483870968,11.326666666666668,10.519848749375644,0.0005419207326191289,6305,222,133.76298571565889,-0.2797311827957003
freelance seo specialist,/services/seo-consulting,9.455,6.346666666666667,10.607499948072563,0.0004964655131229135,5591,247,104.96966804613818,3.1083333333333334
technical seo checklist,/blog/technical-seo-guide,9.937096774193549,9.229999999999999,10.681774826436014,0.00046094313414675334,7779,286,147.11767546344305,0.7070967741935501
website seo audit,/blog/seo-audit-checklist,11.187096774193549,9.626666666666667,10.736576511103939,0.0004363730856755191,9481,297,188.35821109883955,1.5604301075268818
improve crawlability,/blog/technical-seo-guide,11.454032258064515,13.82,10.74588459938497,0.0004323318796447547,6295,218,116.59366300330858,-2.365967741935485
seo audit checklist,/blog/seo-audit-checklist,10.540634920634922,9.540000000000001,10.812536675566593,0.00040446666952598785,9061,325,181.78976289721118,1.000634920634921
seo keyword grouping,/blog/keyword-clustering,10.983870967741936,12.423333333333334,10.812601342940726,0.00040444052515236284,6858,264,133.40250092984473,-1.4394623655913978
